#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2019-07-23T09:46:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d36d7544ec0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/156/218&tab:{J/AJ/156/218/medians}&key:source=J/AJ/156/218/medians&HTTPPRM:&
#-source=J/AJ/156/218/medians
#-order=I
#-out=Tel
#-out=Pl
#-out=Epoch
#-out=Time
#-out=e_Time
#-out=Depth
#-out=e_Depth
#

#RESOURCE=yCat_51560218
#Name: J/AJ/156/218
#Title: Transit light curves of TRAPPIST-1 planets (Ducrot+, 2018)
#Table	J_AJ_156_218_medians:
#Name: J/AJ/156/218/medians
#Title: Median values and 1{sigma} limits of the posterior PDFs deduced for the timings and depths from their global analyses for SPECULOOS (table 10) , K2 (table 11) and Liverpool Telescope (table 12) observations
#Column	Tel	(A15)	Telescope	[ucd=meta.id;instr.tel]
#Column	Pl	(A1)	[bcdefgh] TRAPPIST-1 planet	[ucd=meta.id;meta.main]
#Column	Epoch	(I3)	[5/511] Epoch of the transit	[ucd=time.epoch]
#Column	Time	(F10.5)	[7738.99/8096.54] Mid-transit timing (BJD_TDB_-2450000)	[ucd=time.epoch]
#Column	e_Time	(F8.5)	[0.00012/0.01] Uncertainty in Time	[ucd=stat.error;time.epoch]
#Column	Depth	(F6.3)	[0.257/0.988] Transit depth	[ucd=phys.absorption.opticalDepth;arith.ratio]
#Column	e_Depth	(F6.3)	[0.027/0.4] Uncertainty in Depth	[ucd=stat.error;phys.absorption.opticalDepth]
Tel|Pl|Epoch|Time|e_Time|Depth|e_Depth
 | | |d|d|%|%
---------------|-|---|----------|--------|------|------
SPECULOOS-South|b|398|7923.84588| 0.00043| 0.744| 0.053
SPECULOOS-South|b|406|7935.93286| 0.00023| 0.882| 0.040
SPECULOOS-South|b|406|7935.93286| 0.00023| 0.904| 0.084
SPECULOOS-South|b|427|7967.66246| 0.00054| 0.706| 0.090
SPECULOOS-South|b|431|7973.70578| 0.00053| 0.756| 0.066
SPECULOOS-South|b|435|7979.74887| 0.00022| 0.852| 0.052
SPECULOOS-South|b|435|7979.74887| 0.00022| 0.763| 0.044
SPECULOOS-South|b|439|7985.79210| 0.00031| 0.737| 0.047
SPECULOOS-South|b|443|7991.83581| 0.00042| 0.864| 0.073
SPECULOOS-South|b|460|8017.52101| 0.00061| 0.758| 0.072
SPECULOOS-South|b|472|8035.65154| 0.00062| 0.773| 0.073
SPECULOOS-South|b|480|8047.73785| 0.00061| 0.788| 0.065
SPECULOOS-South|b|462|8020.54220| 0.00040| 0.698| 0.120
SPECULOOS-South|b|507|8088.53214| 0.00022| 0.809| 0.051
SPECULOOS-South|b|507|8088.53214| 0.00022| 0.932| 0.054
SPECULOOS-South|b|509|8091.55387| 0.00026| 0.895| 0.059
SPECULOOS-South|b|509|8091.55387| 0.00026| 0.848| 0.041
SPECULOOS-South|b|511|8094.57599| 0.00059| 0.820| 0.110
SPECULOOS-South|b|445|7994.85799| 0.00055| 0.735| 0.073
SPECULOOS-South|b|445|7994.85799| 0.00055| 0.784| 0.078
SPECULOOS-South|c|294|7994.81840| 0.00034| 0.792| 0.069
SPECULOOS-South|c|294|7994.81840| 0.00034| 0.684| 0.078
SPECULOOS-South|c|301|8011.77116| 0.00029| 0.800| 0.072
SPECULOOS-South|c|301|8011.77116| 0.00029| 0.904| 0.076
SPECULOOS-South|c|310|8033.56743| 0.00038| 0.816| 0.061
SPECULOOS-South|c|315|8045.67601| 0.00034| 0.730| 0.050
SPECULOOS-South|c|329|8079.58130| 0.00030| 0.634| 0.046
SPECULOOS-South|c|329|8079.58130| 0.00030| 0.670| 0.044
SPECULOOS-South|c|336|8096.53332| 0.00030| 0.813| 0.046
SPECULOOS-South|c|336|8096.53332| 0.00030| 0.818| 0.056
SPECULOOS-South|c|322|8062.62799| 0.00037| 0.727| 0.051
SPECULOOS-South|d| 72|7961.73774| 0.00130| 0.398| 0.061
SPECULOOS-South|d| 74|7969.83692| 0.00070| 0.266| 0.044
SPECULOOS-South|d| 74|7969.83692| 0.00070| 0.376| 0.053
SPECULOOS-South|d| 75|7973.88758| 0.00150| 0.372| 0.059
SPECULOOS-South|d| 90|8034.62829| 0.00069| 0.409| 0.050
SPECULOOS-South|e| 45|7934.83078| 0.00065| 0.406| 0.048
SPECULOOS-South|e| 45|7934.83078| 0.00065| 0.421| 0.038
SPECULOOS-South|e| 46|7940.92999| 0.00069| 0.540| 0.050
SPECULOOS-South|e| 46|7940.92999| 0.00069| 0.471| 0.057
SPECULOOS-South|e| 53|7983.62772| 0.00086| 0.518| 0.047
SPECULOOS-South|e| 53|7983.62772| 0.00086| 0.553| 0.070
SPECULOOS-South|e| 54|7989.72944| 0.00075| 0.446| 0.061
SPECULOOS-South|e| 54|7989.72944| 0.00075| 0.463| 0.049
SPECULOOS-South|f| 35|7993.63412| 0.00084| 0.732| 0.071
SPECULOOS-South|f| 40|8039.66014| 0.00091| 0.653| 0.055
SPECULOOS-South|g| 21|7924.76918| 0.00140| 0.810| 0.092
SPECULOOS-South|g| 24|7961.82610| 0.00053| 0.723| 0.036
SPECULOOS-South|g| 29|8060.65579| 0.00047| 0.758| 0.036
SPECULOOS-South|h| 16|7962.86307| 0.00160| 0.377| 0.050
SPECULOOS-South|h| 17|7981.63147| 0.00120| 0.291| 0.044
SPECULOOS-South|h| 17|7981.63147| 0.00120| 0.316| 0.057
K2             |b|277|7741.02854| 0.00088| 0.883| 0.160
K2             |b|278|7742.54031| 0.00100| 0.755| 0.130
K2             |b|279|7744.05189| 0.00060| 0.707| 0.069
K2             |b|280|7745.56251| 0.00069| 0.710| 0.069
K2             |b|282|7748.58503| 0.00073| 0.725| 0.082
K2             |b|283|7750.09517| 0.00130| 0.759| 0.082
K2             |b|284|7751.60547| 0.00093| 0.733| 0.099
K2             |b|285|7753.11697| 0.00093| 0.702| 0.095
K2             |b|286|7754.62839| 0.00068| 0.704| 0.081
K2             |b|287|7756.13946| 0.00095| 0.748| 0.120
K2             |b|288|7757.64914| 0.00096| 0.787| 0.130
K2             |b|289|7759.16115| 0.00095| 0.678| 0.071
K2             |b|290|7760.67223| 0.00092| 0.729| 0.084
K2             |b|291|7762.18186| 0.00067| 0.798| 0.098
K2             |b|292|7763.69279| 0.00130| 0.737| 0.130
K2             |b|293|7765.20350| 0.00056| 0.848| 0.082
K2             |b|294|7766.71535| 0.00058| 0.754| 0.074
K2             |b|295|7768.22554| 0.00086| 0.772| 0.093
K2             |b|297|7771.24824| 0.00150| 0.634| 0.110
K2             |b|298|7772.75842| 0.00120| 0.628| 0.110
K2             |b|299|7774.26926| 0.00093| 0.862| 0.097
K2             |b|300|7775.78035| 0.00099| 0.699| 0.110
K2             |b|301|7777.28988| 0.00067| 0.679| 0.081
K2             |b|302|7778.80210| 0.00086| 0.637| 0.072
K2             |b|303|7780.31392| 0.00089| 0.763| 0.099
K2             |b|305|7783.33449| 0.00099| 0.590| 0.078
K2             |b|306|7784.84429| 0.00200| 0.487| 0.096
K2             |b|311|7792.40048| 0.00060| 0.784| 0.090
K2             |b|313|7795.42063| 0.00095| 0.829| 0.120
K2             |b|314|7796.93209| 0.00087| 0.753| 0.110
K2             |b|315|7798.44265| 0.00078| 0.799| 0.098
K2             |b|316|7799.95390| 0.00090| 0.758| 0.110
K2             |b|317|7801.46367| 0.00093| 0.702| 0.095
K2             |b|319|7804.48731| 0.00062| 0.749| 0.076
K2             |b|320|7805.99734| 0.00120| 0.623| 0.110
K2             |b|322|7809.01987| 0.00050| 0.950| 0.080
K2             |b|323|7810.52885| 0.00070| 0.718| 0.072
K2             |b|325|7813.55233| 0.00087| 0.767| 0.091
K2             |b|326|7815.06311| 0.00069| 0.696| 0.070
K2             |b|327|7816.57415| 0.00014| 0.825| 0.170
K2             |c|189|7740.53434| 0.00071| 0.572| 0.057
K2             |c|190|7742.95387| 0.00096| 0.711| 0.085
K2             |c|191|7745.37552| 0.00130| 0.602| 0.079
K2             |c|192|7747.79788| 0.00100| 0.772| 0.099
K2             |c|193|7750.21885| 0.00077| 0.685| 0.058
K2             |c|194|7752.64222| 0.00130| 0.620| 0.069
K2             |c|196|7757.48369| 0.00120| 0.713| 0.110
K2             |c|197|7759.90363| 0.00091| 0.542| 0.087
K2             |c|198|7762.32938| 0.00099| 0.662| 0.091
K2             |c|199|7764.74912| 0.00160| 0.736| 0.096
K2             |c|200|7767.17049| 0.00110| 0.741| 0.076
K2             |c|201|7769.59284| 0.00079| 0.549| 0.075
K2             |c|202|7772.01581| 0.01000| 0.823| 0.072
K2             |c|203|7774.43569| 0.00092| 0.681| 0.068
K2             |c|204|7776.85852| 0.00081| 0.715| 0.060
K2             |c|205|7779.27989| 0.00120| 0.674| 0.090
K2             |c|206|7781.70123| 0.00058| 0.768| 0.060
K2             |c|207|7784.12346| 0.00092| 0.795| 0.089
K2             |c|210|7791.38893| 0.00084| 0.589| 0.081
K2             |c|211|7793.81172| 0.00086| 0.657| 0.081
K2             |c|212|7796.23247| 0.00074| 0.746| 0.078
K2             |c|214|7801.07714| 0.00150| 0.734| 0.120
K2             |c|215|7803.49838| 0.00085| 0.624| 0.078
K2             |c|216|7805.91962| 0.00110| 0.606| 0.110
K2             |c|217|7808.34096| 0.00140| 0.744| 0.082
K2             |c|219|7813.18461| 0.00096| 0.641| 0.065
K2             |c|220|7815.60652| 0.00072| 0.825| 0.064
K2             |d| 17|7738.99218| 0.00230| 0.258| 0.065
K2             |d| 18|7743.03815| 0.00087| 0.562| 0.091
K2             |d| 20|7751.14085| 0.00230| 0.434| 0.079
K2             |d| 21|7755.18922| 0.00130| 0.428| 0.072
K2             |d| 22|7759.24736| 0.00210| 0.441| 0.070
K2             |d| 23|7763.28937| 0.00140| 0.408| 0.065
K2             |d| 24|7767.33969| 0.00260| 0.283| 0.070
K2             |d| 26|7775.44044| 0.00160| 0.454| 0.082
K2             |d| 30|7791.64168| 0.00088| 0.549| 0.062
K2             |d| 36|7815.94088| 0.00260| 0.289| 0.070
K2             |e| 13|7739.67188| 0.00610| 0.478| 0.089
K2             |e| 14|7745.77245| 0.00430| 0.473| 0.072
K2             |e| 16|7757.96794| 0.00340| 0.572| 0.120
K2             |e| 17|7764.06998| 0.00120| 0.477| 0.077
K2             |e| 18|7770.17137| 0.00270| 0.413| 0.071
K2             |e| 19|7776.26467| 0.00190| 0.365| 0.063
K2             |e| 20|7782.36298| 0.00170| 0.414| 0.059
K2             |e| 22|7794.56266| 0.00210| 0.587| 0.092
K2             |f|  8|7745.03110| 0.00230| 0.567| 0.090
K2             |f|  9|7754.23467| 0.00160| 0.603| 0.069
K2             |f| 10|7763.44538| 0.00200| 0.636| 0.100
K2             |f| 11|7772.64872| 0.00220| 0.456| 0.070
K2             |f| 14|7800.27402| 0.00230| 0.494| 0.088
K2             |f| 15|7809.47707| 0.00170| 0.484| 0.064
K2             |g|  8|7764.19196| 0.00160| 0.567| 0.068
K2             |g| 11|7801.25070| 0.00120| 0.707| 0.087
K2             |g| 12|7813.60635| 0.00140| 0.728| 0.100
K2             |h|  5|7756.38806| 0.00300| 0.346| 0.058
Liverpool      |b|386|7905.71519| 0.00088| 0.834| 0.120
Liverpool      |b|421|7958.59605| 0.00036| 0.687| 0.061
Liverpool      |b|425|7964.63885| 0.00044| 0.838| 0.053
Liverpool      |b|429|7970.68541| 0.00041| 0.707| 0.062
Liverpool      |c|270|7936.69651| 0.00035| 0.723| 0.047
Liverpool      |c|298|8004.50488| 0.00053| 0.853| 0.054
Liverpool      |c|303|8016.61367| 0.00068| 0.605| 0.084
